onset	duration	trial_type	value	sample	tms rmt	working amplitude
0.0	0.0002	New Segment/	1	0	n/a	n/a
17.3758	0.0002	Stimulus/S128	2	86879	n/a	n/a
23.4598	0.0002	Stimulus/S128	2	117299	n/a	n/a
31.5302	0.0002	Stimulus/S128	2	157651	n/a	n/a
39.5938	0.0002	Stimulus/S128	2	197969	n/a	n/a
46.6642	0.0002	Stimulus/S128	2	233321	n/a	n/a
52.7274	0.0002	Stimulus/S128	2	263637	n/a	n/a
59.7978	0.0002	Stimulus/S128	2	298989	n/a	n/a
66.8682	0.0002	Stimulus/S128	2	334341	n/a	n/a
72.9732	0.0002	Stimulus/S128	2	364866	n/a	n/a
79.0434	0.0002	Stimulus/S128	2	395217	n/a	n/a
87.1208	0.0002	Stimulus/S128	2	435604	n/a	n/a
95.1844	0.0002	Stimulus/S128	2	475922	n/a	n/a
103.2618	0.0002	Stimulus/S128	2	516309	n/a	n/a
111.3324	0.0002	Stimulus/S128	2	556662	n/a	n/a
118.3958	0.0002	Stimulus/S128	2	591979	n/a	n/a
126.4732	0.0002	Stimulus/S128	2	632366	n/a	n/a
133.5434	0.0002	Stimulus/S128	2	667717	n/a	n/a
140.6278	0.0002	Stimulus/S128	2	703139	n/a	n/a
148.6912	0.0002	Stimulus/S128	2	743456	n/a	n/a
155.7964	0.0002	Stimulus/S128	2	778982	n/a	n/a
163.867	0.0002	Stimulus/S128	2	819335	n/a	n/a
171.9444	0.0002	Stimulus/S128	2	859722	n/a	n/a
179.0146	0.0002	Stimulus/S128	2	895073	n/a	n/a
186.0782	0.0002	Stimulus/S128	2	930391	n/a	n/a
192.1484	0.0002	Stimulus/S128	2	960742	n/a	n/a
198.2186	0.0002	Stimulus/S128	2	991093	n/a	n/a
206.2822	0.0002	Stimulus/S128	2	1031411	n/a	n/a
213.3524	0.0002	Stimulus/S128	2	1066762	n/a	n/a
221.437	0.0002	Stimulus/S128	2	1107185	n/a	n/a
229.5144	0.0002	Stimulus/S128	2	1147572	n/a	n/a
235.5846	0.0002	Stimulus/S128	2	1177923	n/a	n/a
241.648	0.0002	Stimulus/S128	2	1208240	n/a	n/a
247.718	0.0002	Stimulus/S128	2	1238590	n/a	n/a
254.7816	0.0002	Stimulus/S128	2	1273908	n/a	n/a
260.8518	0.0002	Stimulus/S128	2	1304259	n/a	n/a
267.929	0.0002	Stimulus/S128	2	1339645	n/a	n/a
273.9992	0.0002	Stimulus/S128	2	1369996	n/a	n/a
280.0694	0.0002	Stimulus/S128	2	1400347	n/a	n/a
286.1328	0.0002	Stimulus/S128	2	1430664	n/a	n/a
294.1964	0.0002	Stimulus/S128	2	1470982	n/a	n/a
302.2808	0.0002	Stimulus/S128	2	1511404	n/a	n/a
309.358	0.0002	Stimulus/S128	2	1546790	n/a	n/a
316.4214	0.0002	Stimulus/S128	2	1582107	n/a	n/a
323.4848	0.0002	Stimulus/S128	2	1617424	n/a	n/a
330.5482	0.0002	Stimulus/S128	2	1652741	n/a	n/a
336.6184	0.0002	Stimulus/S128	2	1683092	n/a	n/a
342.6958	0.0002	Stimulus/S128	2	1713479	n/a	n/a
348.766	0.0002	Stimulus/S128	2	1743830	n/a	n/a
356.8364	0.0002	Stimulus/S128	2	1784182	n/a	n/a
363.9208	0.0002	Stimulus/S128	2	1819604	n/a	n/a
369.991	0.0002	Stimulus/S128	2	1849955	n/a	n/a
378.0544	0.0002	Stimulus/S128	2	1890272	n/a	n/a
385.1318	0.0002	Stimulus/S128	2	1925659	n/a	n/a
391.202	0.0002	Stimulus/S128	2	1956010	n/a	n/a
